Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
mean_salinity,-0.03129876967406996,0.01072172191342504,0.012927078596906656,0.13078755325040403,0.044225848270976614,Warm,M4
HFP_period,-0.021641513100436237,0.1427284425802478,-0.026943118077314268,0.024669427173178732,-0.005301604976878031,Warm,M4
elevation,0.029605154598373932,0.08173053833167426,0.005299479706914159,0.7331880915323371,-0.024305674891459773,Warm,M4
mean_temp,0.10909316997548572,0.011426924998489602,0.08811801718532301,0.01677193543968654,-0.02097515279016271,Warm,M5
sen_temp,0.032631554771224654,0.001494563990224561,0.0780469383268011,2.4511882219318707e-12,0.04541538355557644,Warm,M5
mean_Q,-0.03882927819888682,0.00907880819500458,0.016032020273331893,0.24489409998719658,0.05486129847221871,Warm,M5
mean_organic,0.04303190442294876,0.027377865833941414,-0.036500789404206334,0.019571537744451705,-0.0795326938271551,Warm,M5
mean_salinity,-0.022096471326530722,0.06672474984559204,0.018929380251121786,0.024864523548268774,0.04102585157765251,Warm,M5
HFP_period,-0.021102809228303782,0.147039433898093,-0.027146627932515224,0.02062791848195086,-0.006043818704211442,Warm,M5
elevation,0.011757221719619076,0.4449188269655057,-0.012938989826680451,0.3418875538375592,-0.02469621154629953,Warm,M5
mean_temp,0.11378163028154221,0.008427586987396906,0.093789775386427,0.011203566960316186,-0.01999185489511522,Warm,M6
sen_temp,0.03249446169427445,0.001558111497302609,0.07806513351997255,2.4185496014592906e-12,0.04557067182569809,Warm,M6
mean_Q,-0.03882344692353818,0.008971566961715293,0.01598843330788291,0.24529625457149234,0.05481188023142109,Warm,M6
mean_organic,0.04177345687016845,0.03217587463485549,-0.03732344706394252,0.016953167216782375,-0.07909690393411098,Warm,M6
mean_salinity,-0.023799838806408128,0.048970718786224526,0.017753194450788583,0.03589565406791588,0.04155303325719671,Warm,M6
HFP_period,-0.023574611341446457,0.10648092864318691,-0.029339662079087222,0.012823624643134461,-0.005765050737640765,Warm,M6
elevation,0.01191828019172455,0.438117493917263,-0.012511203323009309,0.3574570749691673,-0.024429483514733858,Warm,M6
